Date : 2020-03-02 17:27:30
Directory : d:\Coding\SakuraEngine
Total : 150 files,  19299 codes, 8161 comments, 3304 blanks, all 30764 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Coding\SakuraEngine\SakuraEngine\Editor\Linux\LinuxEditor.cpp                                             | C++        |          5 |          9 |          1 |         15 |
| d:\Coding\SakuraEngine\SakuraEngine\Editor\Linux\LinuxEditor.h                                               | C++        |          6 |          9 |          1 |         16 |
| d:\Coding\SakuraEngine\SakuraEngine\Editor\Win32\Execute\Win32Execute.cpp                                    | C++        |         20 |          9 |          1 |         30 |
| d:\Coding\SakuraEngine\SakuraEngine\Editor\Win32\Win32Editor.cpp                                             | C++        |          5 |          9 |          1 |         15 |
| d:\Coding\SakuraEngine\SakuraEngine\Editor\Win32\Win32Editor.h                                               | C++        |          6 |          9 |          1 |         16 |
| d:\Coding\SakuraEngine\SakuraEngine\Editor\mainmeta.json                                                     | JSON       |         16 |          0 |          0 |         16 |
| d:\Coding\SakuraEngine\SakuraEngine\Editor\meta.h                                                            | C++        |         53 |          3 |          4 |         60 |
| d:\Coding\SakuraEngine\SakuraEngine\Framework\Application\SApplication.h                                     | C++        |         13 |          9 |          1 |         23 |
| d:\Coding\SakuraEngine\SakuraEngine\Framework\Application\SEngine.h                                          | C++        |         29 |         27 |          4 |         60 |
| d:\Coding\SakuraEngine\SakuraEngine\Framework\Application\SWindow.h                                          | C++        |         42 |         17 |          5 |         64 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGDModule.cpp                                  | C++        |         14 |         26 |          3 |         43 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGDModule.h                                    | C++        |         11 |         26 |          1 |         38 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD\CGD.cpp                                    | C++        |         31 |         26 |          4 |         61 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD\CGDExport.h                                | C++        |          3 |          9 |          2 |         14 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD\CommandContext.cpp                         | C++        |         27 |         26 |          3 |         56 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD\GpuTimer.cpp                               | C++        |         44 |          9 |         10 |         63 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD\Profiling.cpp                              | C++        |         26 |          9 |          5 |         40 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Direct3D12\CGD_Direct3D12.cpp              | C++        |         17 |          9 |          5 |         31 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Direct3D12\CGD_Direct3D12.h                | C++        |         14 |          9 |          0 |         23 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Direct3D12\CommandContext_Dx12.cpp         | C++        |          5 |          9 |          2 |         16 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Vulkan\CGD_Vulkan.cpp                      | C++        |        268 |         27 |         23 |        318 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Vulkan\CGD_Vulkan.h                        | C++        |         79 |         36 |          9 |        124 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Vulkan\CommandContext_Vk.cpp               | C++        |         11 |          9 |          2 |         22 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Vulkan\CommandContext_Vk.h                 | C++        |         11 |          9 |          3 |         23 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Vulkan\Vulkan_FormatTransfer.h             | C++        |         15 |          9 |          2 |         26 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\GraphicsCommon\CGD.h                           | C++        |         43 |         26 |          1 |         70 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\GraphicsCommon\CommandObjects\CommandContext.h | C++        |         53 |         27 |          7 |         87 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\GraphicsCommon\CommandObjects\Profiling.h      | C++        |         24 |          9 |          3 |         36 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\GraphicsCommon\Format\CommonFeatures.h         | C++        |         11 |         26 |          2 |         39 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\GraphicsCommon\Format\PixelFormat.h            | C++        |        337 |         14 |          1 |        352 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\GraphicsCommon\GpuTimer.h                      | C++        |         18 |         39 |          7 |         64 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\meta.h                                         | C++        |         37 |          3 |          4 |         44 |
| d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\meta.json                                      | JSON       |         12 |          0 |          0 |         12 |
| d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestApplication\UnitTestApplication.cpp                    | C++        |         15 |         26 |          2 |         43 |
| d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestApplication\UnitTestWinApp.cpp                         | C++        |         11 |         26 |          2 |         39 |
| d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestCore\UnitTestCore.cpp                                  | C++        |         84 |         10 |         12 |        106 |
| d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestCore\UnitTestCoreUtils.cpp                             | C++        |         49 |         29 |         11 |         89 |
| d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestGraphics\SDLHello.cpp                                  | C++        |          8 |          9 |          1 |         18 |
| d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestGraphics\UnitTestGraphics.cpp                          | C++        |         42 |          8 |          6 |         56 |
| d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestGraphics\VkTestApplication.h                           | C++        |         62 |         26 |          8 |         96 |
| d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestGraphics\VkTriangle.cpp                                | C++        |        716 |          0 |        195 |        911 |
| d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestGraphics\shader.frag                                   | GLSL       |          7 |          0 |          3 |         10 |
| d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestGraphics\shader.vert                                   | GLSL       |         17 |          0 |          4 |         21 |
| d:\Coding\SakuraEngine\cmake\TargetArchDetect.cmake                                                          | CMake      |        116 |          0 |         17 |        133 |
| Total                                                                                                        |            |     19,299 |      8,161 |      3,304 |     30,764 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
